K_1	K_2	mean_K	sd_K	tot_K	H_1	H_2	Hsd_1	Hsd_2	mean_H	sd_H	tot_H	GW_1	GW_2	GWsd_1	GWsd_2	mean_GW	sd_GW	tot_GW	NGW_1	NGW_2	NGWsd_1	NGWsd_2	mean_NGW	sd_NGW	R_1	R_2	Rsd_1	Rsd_2	mean_R	sd_R	tot_R	FST_2_1	DMUSQ_2_1		NPOP1	NPOP2	RSANC	T1	MUTRATE	GEOM
15.2	28.6	21.9	9.47523	41.1	0.92379	0.981538	0.0335457	0.00554568	0.952664	0.0408341	0.975626	0.384265	0.181022	0.26119	0.0915751	0.282644	0.143714	0.224431	0.0825001	0.158061	0.0324919	0.0689651	0.120281	0.05343	81.9	204.5	79.2246	124.599	143.2	86.6913	218.6	0.0394503	6530.22		123258	174773	47.7581811	168876	8.80051e-04	0.1777079
13.2	13.4	13.3	0.141421	25.1	0.914919	0.9	0.0337068	0.0359584	0.90746	0.0105496	0.94597	0.462212	0.715561	0.267716	0.226676	0.588886	0.179145	0.417273	0.224039	0.228367	0.0982049	0.104872	0.226203	0.0030599	42.1	27.3	31.8135	36.8723	34.7	10.4652	70.5	0.0797832	1131.56		125840	39518	7.2886157	201165	9.40070e-04	0.2749153
24.3	27.7	26	2.40416	49.1	0.979839	0.977436	0.00891566	0.0098606	0.978637	0.00169904	0.98705	0.16204	0.204891	0.0837821	0.10552	0.183465	0.0303001	0.22766	0.113111	0.128637	0.0413164	0.0415289	0.120874	0.0109786	183.8	158.5	82.0295	60.592	171.15	17.8898	234.6	0.0171494	8028.09		75083	165987	12.4732041	65271	7.94521e-04	0.1186313
13.6	19.8	16.7	4.38406	31.8	0.921573	0.954487	0.0131847	0.0162421	0.93803	0.0232741	0.968075	0.576943	0.538634	0.157489	0.15936	0.557789	0.027089	0.411672	0.188895	0.268363	0.124486	0.182002	0.228629	0.0561928	24.5	49	8.35663	55.3655	36.75	17.3241	111.2	0.0564581	10423.2		183762	28286	24.3942856	158594	2.50260e-04	0.1052086
3.2	24.3	13.75	14.92	27.4	0.444556	0.967949	0.192988	0.012849	0.706253	0.370094	0.881612	0.891667	0.273123	0.184466	0.101394	0.582395	0.437376	0.263429	0.0316568	0.233054	0.0133296	0.0770301	0.132355	0.142409	2.8	101.8	1.31656	46.9368	52.3	70.0036	114.1	0.28292	4724.72		139689	149435	77.3307098	67752	4.74648e-04	0.1927723
15.8	18.5	17.15	1.90919	33.3	0.939718	0.943718	0.0260359	0.0132334	0.941718	0.00282857	0.970149	0.592305	0.544783	0.132367	0.16262	0.568544	0.033603	0.46235	0.221326	0.260458	0.0654731	0.0844549	0.240892	0.02767	27.2	36.9	8.10761	15.0144	32.05	6.85894	74.7	0.0564144	2480.25		12032	188556	18.6358205	141974	6.16788e-04	0.2045722
7.7	15.2	11.45	5.3033	21.5	0.810282	0.92	0.0533202	0.0284129	0.865141	0.0775822	0.933099	0.757082	0.541088	0.158954	0.20645	0.649085	0.152731	0.543377	0.200958	0.380676	0.0838264	0.12013	0.290817	0.12708	9.6	32.5	2.95146	16.6082	21.05	16.1927	43.5	0.123853	796.647		126042	162357	37.1523104	134065	6.10715e-04	0.2734356
11.1	23.5	17.3	8.76812	31.4	0.879032	0.967179	0.0444972	0.00534444	0.923106	0.0623295	0.960172	0.594475	0.541419	0.193409	0.11177	0.567947	0.0375162	0.608518	0.220181	0.46356	0.0696758	0.10449	0.341871	0.172095	19.7	44.8	8.40701	14.117	32.25	17.7484	52.4	0.0644677	443.697		131451	99959	17.6431447	71180	3.67232e-04	0.1653477
10.6	24.1	17.35	9.54594	34	0.89496	0.966795	0.0338892	0.0171415	0.930877	0.0507952	0.967997	0.78151	0.180481	0.157346	0.142898	0.480995	0.424992	0.199331	0.0630663	0.142839	0.0487817	0.0961765	0.102953	0.0564078	13.1	236.3	3.755	179.134	124.7	157.826	276.1	0.0658664	41114		78120	145382	57.7046161	93619	4.61435e-04	0.2647910
9.6	17.6	13.6	5.65685	26.4	0.867742	0.93641	0.0363922	0.016892	0.902076	0.0485558	0.951565	0.772743	0.586102	0.0870793	0.267919	0.679422	0.131975	0.288175	0.121017	0.217158	0.145815	0.282669	0.169088	0.0679823	11.6	42.8	3.13404	38.3516	27.2	22.0617	172.2	0.0912624	41552.8		64128	134702	68.7561104	240469	1.58718e-04	0.1687724
23.4	24	23.7	0.424264	46.2	0.976411	0.967949	0.0101499	0.0103627	0.97218	0.00598394	0.984038	0.277149	0.509146	0.140188	0.111921	0.393148	0.164047	0.257753	0.132557	0.135164	0.0848296	0.0866023	0.133861	0.00184356	116.1	48.1	82.9249	11.5224	82.1	48.0833	259.7	0.0247342	51877.1		151726	163482	82.5750034	157312	2.93946e-04	0.1132467
19.4	27.7	23.55	5.86899	45.7	0.95746	0.977179	0.0221764	0.0088576	0.96732	0.013944	0.983842	0.390635	0.277372	0.181922	0.16836	0.334004	0.0800887	0.265557	0.119256	0.158771	0.0785128	0.0768951	0.139013	0.0279419	69.3	158.6	60.4245	142.481	113.95	63.1446	220.4	0.0307679	12037		43576	175124	65.3540196	231864	8.93854e-04	0.1889902
20.5	26.2	23.35	4.03051	42.3	0.963911	0.974103	0.0130816	0.0077585	0.969007	0.00720632	0.98079	0.222061	0.225767	0.113761	0.125602	0.223914	0.00262091	0.25279	0.124033	0.156464	0.0556264	0.0623866	0.140249	0.0229327	122.5	147.1	76.5452	72.7774	134.8	17.3948	190.1	0.0225484	1786.88		140601	38479	56.4043999	236251	2.72941e-04	0.1686000
18.5	16	17.25	1.76777	33.3	0.952016	0.93	0.0280943	0.017466	0.941008	0.0155678	0.967175	0.488877	0.727192	0.213155	0.186648	0.608034	0.168515	0.396048	0.215043	0.203585	0.084116	0.122633	0.209314	0.00810232	52.3	22.5	44.4523	7.45729	37.4	21.0718	98.3	0.0550669	4582.59		141177	5086	5.9613002	208519	2.12290e-04	0.1144828
16.6	17.2	16.9	0.424264	31.5	0.934073	0.936026	0.0366377	0.020992	0.935049	0.00138102	0.963067	0.343511	0.372465	0.219408	0.335722	0.357988	0.0204736	0.330597	0.172848	0.20112	0.146641	0.202589	0.186984	0.0199917	97.8	90.7	104.764	65.6524	94.25	5.02046	170.3	0.0562385	11809		141098	48549	11.7109061	159599	3.73952e-04	0.2015952
14.1	14.9	14.5	0.565685	26.8	0.917742	0.916795	0.0442509	0.0257437	0.917268	0.000669675	0.952739	0.286338	0.253509	0.132839	0.14006	0.269924	0.0232138	0.367935	0.196608	0.205009	0.10768	0.0831098	0.200808	0.00594015	57.6	75.5	31.1669	37.7367	66.55	12.6572	83.8	0.0717883	382.567		61143	150917	15.8273165	126713	6.42409e-04	0.1245020
14	14.8	14.4	0.565685	27.9	0.927218	0.914103	0.0205485	0.0417756	0.92066	0.00927383	0.958529	0.621039	0.765775	0.158324	0.239034	0.693407	0.102344	0.416865	0.216239	0.224523	0.128407	0.134973	0.220381	0.00585806	24.3	26.3	12.2751	30.339	25.3	1.41421	87	0.0773458	5465.49		32947	93071	93.5553861	78427	1.11780e-04	0.2907849
15.7	16.9	16.3	0.848528	29.7	0.942339	0.924103	0.0170598	0.0179263	0.933221	0.0128949	0.95849	0.22203	0.227346	0.0987264	0.0978923	0.224688	0.0037592	0.271924	0.146223	0.157161	0.060455	0.0628779	0.151692	0.00773443	79.5	92.4	30.1266	54.4696	85.95	9.12168	121.6	0.0533556	3317.27		124237	73133	66.7289795	196306	2.62186e-04	0.1658362
19	18.5	18.75	0.353553	36.5	0.954839	0.943974	0.0145757	0.0142514	0.949407	0.00768226	0.972144	0.341115	0.53624	0.198953	0.273309	0.438678	0.137974	0.401059	0.206013	0.20759	0.101554	0.11556	0.206802	0.00111447	105.9	56.2	126.136	54.6947	81.05	35.1432	129.9	0.0468577	2023.9		23809	15678	55.6371142	45094	6.87927e-04	0.2114533
18.1	16.7	17.4	0.989949	30.8	0.951411	0.931795	0.0196726	0.022482	0.941603	0.0138709	0.963224	0.456436	0.549708	0.236589	0.203755	0.503072	0.0659534	0.429894	0.254006	0.240156	0.0904876	0.103597	0.247081	0.00979366	55.8	34.3	41.9333	16.4455	45.05	15.2028	77.5	0.046062	941.982		7794	909	65.9165283	109075	9.86843e-04	0.1185971
15.3	20.4	17.85	3.60624	31	0.928831	0.953846	0.0269664	0.018618	0.941338	0.0176886	0.963341	0.479888	0.489666	0.29362	0.204813	0.484777	0.00691403	0.551212	0.299538	0.374813	0.176546	0.180169	0.337176	0.0532279	61	56.5	63.0379	45.4637	58.75	3.18198	74.4	0.0417567	489.796		180392	150504	94.0017865	118611	9.15678e-04	0.2856272
16.3	24.2	20.25	5.58614	39.8	0.942339	0.968077	0.0155937	0.0113943	0.955208	0.0181997	0.978599	0.614166	0.371615	0.177524	0.167447	0.49289	0.17151	0.318349	0.130688	0.197247	0.0685944	0.103727	0.163967	0.0470646	27.7	96.7	9.40508	89.1504	62.2	48.7904	152.9	0.0437533	11456.8		164808	67568	52.4785504	205593	7.82818e-04	0.2725952
20.8	8.5	14.65	8.69741	27.4	0.965726	0.840897	0.0124283	0.0556457	0.903312	0.088267	0.940063	0.512634	0.875303	0.188257	0.129427	0.693969	0.256445	0.514132	0.389538	0.171864	0.156297	0.0974736	0.280701	0.153918	49	9.1	32.5883	4.06749	29.05	28.2136	61.9	0.0890731	944.677		44956	125598	46.8673253	243297	2.46150e-04	0.2135000
13.1	17.7	15.4	3.25269	28.7	0.892742	0.938077	0.0496203	0.0265855	0.915409	0.0320567	0.956025	0.246397	0.175675	0.289297	0.133867	0.211036	0.0500077	0.220302	0.104168	0.135795	0.082851	0.0914064	0.119982	0.0223637	131.2	159.1	103.539	115.901	145.15	19.7283	185	0.0763949	8718.45		6881	140289	58.3281556	192253	6.51555e-04	0.1422810
22.3	16.6	19.45	4.03051	36.2	0.974194	0.937949	0.00560663	0.0115811	0.956071	0.025629	0.972613	0.166737	0.564371	0.0576016	0.188582	0.365554	0.28117	0.239928	0.148686	0.112276	0.0552722	0.0468455	0.130481	0.0257453	152.1	33.8	67.4923	19.5494	92.95	83.6507	174.6	0.0374999	10551.3		121251	110638	81.4472935	191981	5.91178e-04	0.2349081
17.6	8.1	12.85	6.71751	23.1	0.954637	0.766026	0.0187992	0.113413	0.860331	0.133368	0.911933	0.469896	0.759722	0.202053	0.192782	0.614809	0.204938	0.448787	0.344142	0.158617	0.164559	0.0772394	0.25138	0.131186	48.3	10.5	31.8645	4.50309	29.4	26.7286	62.7	0.127873	1642.63		59781	165378	94.0359428	54904	5.30892e-04	0.1300227
20.5	18.7	19.6	1.27279	38.6	0.962903	0.951154	0.0166851	0.00925389	0.957029	0.00830807	0.976565	0.338081	0.624445	0.283809	0.227028	0.481263	0.20249	0.311548	0.17011	0.149743	0.128352	0.0950613	0.159926	0.0144018	146.9	53.7	205.15	84.972	100.3	65.9024	211.9	0.0404857	12221.1		145933	198639	89.6739388	181835	6.39077e-04	0.2225414
22.1	24.3	23.2	1.55563	43.9	0.971169	0.968718	0.0129984	0.0155523	0.969944	0.00173341	0.982551	0.215049	0.353087	0.185341	0.220996	0.284068	0.0976081	0.268869	0.135167	0.150529	0.0741283	0.0868829	0.142848	0.0108629	177.2	110.6	125.292	85.3961	143.9	47.0933	213	0.025576	3795.71		59122	83519	49.4743320	207919	5.28823e-04	0.1883695
22	23.3	22.65	0.919239	44	0.974798	0.965641	0.0080224	0.0108247	0.97022	0.00647523	0.983529	0.274493	0.43653	0.178651	0.178786	0.355511	0.114578	0.269303	0.139668	0.142242	0.0901191	0.084821	0.140955	0.00181962	144.7	66.4	136.234	41.0425	105.55	55.3665	233.8	0.0276961	24924.7		190246	97155	18.9674632	231323	8.45126e-04	0.1621681
9	14.1	11.55	3.60624	22.9	0.834073	0.908333	0.0547874	0.0293428	0.871203	0.0525103	0.939476	0.85549	0.390826	0.147048	0.261187	0.623158	0.328567	0.268177	0.105154	0.164338	0.0514599	0.0807568	0.134746	0.0418497	10	63.6	3.43188	62.445	36.8	37.9009	103.2	0.127437	4264.13		158906	15114	81.2064422	206597	9.43553e-04	0.2512391
20.7	11	15.85	6.85894	26.7	0.963508	0.885769	0.0181688	0.0201486	0.924639	0.0549697	0.942371	0.415557	0.702315	0.117411	0.202394	0.558936	0.202769	0.499262	0.387025	0.207635	0.105063	0.0640817	0.29733	0.126848	51.5	16.7	12.313	8.51208	34.1	24.6073	54.7	0.0459106	156.074		39800	166168	44.0838129	211230	2.83297e-04	0.1291960
17.3	17.7	17.5	0.282843	31.4	0.948992	0.943333	0.0178326	0.0164605	0.946163	0.00400124	0.96608	0.236795	0.206073	0.129815	0.0698098	0.221434	0.0217236	0.284624	0.159456	0.157487	0.0624757	0.0375245	0.158472	0.0013926	87	97.7	37.5263	43.6299	92.35	7.56604	117.9	0.040981	476.529		113586	161436	13.3200663	172519	5.44365e-04	0.2441082
10.7	1.3	6	6.6468	11.3	0.885484	0.136667	0.0535429	0.221293	0.511075	0.529494	0.689437	0.795019	0.888889	0.177732	0.19245	0.841954	0.0663762	0.702154	0.668196	0.0852027	0.189937	0.048391	0.3767	0.412239	12.9	1.33333	3.24722	0.57735	7.11667	8.17887	15.6	0.485342	54.9162		123297	109725	51.1754588	174905	9.23889e-04	0.1603998
18.1	11.2	14.65	4.87904	27.1	0.95	0.862821	0.0185951	0.0415124	0.90641	0.0616452	0.943662	0.410456	0.763619	0.187037	0.144269	0.587038	0.249724	0.479455	0.319685	0.206861	0.127088	0.101386	0.263273	0.0797788	52.2	14.6	24.5121	6.0037	33.4	26.5872	65.6	0.0855528	1601.68		83453	106237	74.0951587	26654	8.24372e-04	0.2579114
15.9	19.4	17.65	2.47487	33.4	0.936694	0.947949	0.0213832	0.013285	0.942321	0.00795861	0.969836	0.450964	0.612474	0.251877	0.0932016	0.531719	0.114205	0.421772	0.206755	0.253267	0.111622	0.135463	0.230011	0.0328888	50.5	31.7	42.7454	8.49902	41.1	13.2936	116.5	0.0538406	13502.4		95239	93612	38.6085508	50349	9.36322e-04	0.1665578
19.5	21.2	20.35	1.20208	37.5	0.959677	0.950256	0.0143509	0.022237	0.954967	0.00666166	0.972574	0.387191	0.207587	0.247447	0.0733633	0.297389	0.126999	0.277714	0.147545	0.155971	0.0704765	0.0671188	0.151758	0.00595863	73.5	121.7	48.5575	74.8228	97.6	34.0825	157.9	0.0365763	4041.24		116521	184497	86.0092151	79244	2.82978e-04	0.2756867
11.5	15.9	13.7	3.11127	26.3	0.894556	0.928205	0.018009	0.022934	0.911381	0.0237932	0.955164	0.750937	0.594621	0.181895	0.294041	0.672779	0.110533	0.320347	0.147248	0.197849	0.127551	0.157175	0.172548	0.0357804	15.7	43.9	6.63409	50.1829	29.8	19.9404	114.9	0.0838511	9755.21		199283	149396	90.5611994	211400	9.07790e-04	0.1348943
