K_1	K_2	mean_K	sd_K	tot_K	H_1	H_2	Hsd_1	Hsd_2	mean_H	sd_H	tot_H	GW_1	GW_2	GWsd_1	GWsd_2	mean_GW	sd_GW	tot_GW	NGW_1	NGW_2	NGWsd_1	NGWsd_2	mean_NGW	sd_NGW	R_1	R_2	Rsd_1	Rsd_2	mean_R	sd_R	tot_R	FST_2_1	DMUSQ_2_1		NPOP1	NPOP2	RSANC	Nem	T2	T1	MUTRATE	GEOM	MIG21
14.6	14.3	14.45	0.212132	20.8	0.923992	0.901282	0.0236851	0.0473453	0.912637	0.0160583	0.929812	0.331119	0.459785	0.137325	0.218151	0.395452	0.0909808	0.451819	0.319101	0.312948	0.133964	0.14551	0.316024	0.00435127	49.3	37.5	18.762	19.121	43.4	8.34386	51.1	0.0389022	113.406		95266	66019	92.5580828	1.8395569	30896	56938	1.47576e-04	0.2096737	2.78641e-05
11.2	6.6	8.9	3.25269	11.5	0.881048	0.677692	0.0307382	0.177517	0.77937	0.143794	0.805321	0.691524	0.812937	0.103082	0.160851	0.75223	0.0858519	0.712555	0.691524	0.423001	0.103082	0.178135	0.557262	0.189874	15.5	7.3	3.10018	2.21359	11.4	5.79828	15.5	0.0890205	2.32021		21475	187926	15.4875576	4.0883717	38116	168382	5.52866e-04	0.2867808	2.17552e-05
16.2	11.5	13.85	3.3234	21.7	0.93871	0.873205	0.0249327	0.0522328	0.905957	0.0463187	0.928678	0.302296	0.520931	0.156045	0.300967	0.411614	0.154599	0.387846	0.287649	0.225451	0.143117	0.177005	0.25655	0.0439806	68.5	34.2	38.5638	31.087	51.35	24.2538	70.1	0.0553306	697.34		52935	108776	40.3722184	5.1951455	26350	189788	8.70391e-04	0.2703768	4.77600e-05
6.1	21.9	14	11.1723	26.6	0.709677	0.953718	0.113962	0.0210094	0.831698	0.172563	0.926721	0.803968	0.242453	0.157615	0.0997934	0.523211	0.397051	0.288269	0.0663954	0.239421	0.0323044	0.101038	0.152908	0.122348	7.1	99.4	3.84274	31.7987	53.25	65.266	101.4	0.160691	1950.24		136756	171833	69.9058933	0.9655134	7737	35465	9.21805e-04	0.1769394	5.61891e-06
21.5	21.3	21.4	0.141421	32.4	0.970766	0.955513	0.0160518	0.0155857	0.963139	0.0107857	0.966784	0.332209	0.37256	0.173294	0.198009	0.352384	0.0285323	0.455001	0.305133	0.303585	0.140468	0.14483	0.304359	0.00109434	93.7	89.7	76.8245	79.8318	91.7	2.82843	98.4	0.00928485	461.346		56178	107751	42.4447027	9.1446705	22133	108622	2.30094e-04	0.2118115	8.48685e-05
23.6	21.9	22.75	1.20208	40.2	0.978629	0.961667	0.00555808	0.0102999	0.970148	0.0119942	0.978013	0.163442	0.225124	0.0950807	0.226201	0.194283	0.0436153	0.238279	0.139911	0.130055	0.0476197	0.0427585	0.134983	0.00696878	182.1	159.5	93.6405	99.948	170.8	15.9806	192.5	0.0178759	5991.99		73025	87009	77.6240768	0.4885141	27670	97785	8.23901e-04	0.2179881	5.61452e-06
11.8	21	16.4	6.50538	26.8	0.892137	0.957692	0.0340063	0.0138081	0.924915	0.0463545	0.953951	0.263689	0.430312	0.214171	0.30427	0.347	0.11782	0.345778	0.179529	0.278442	0.170107	0.217974	0.228986	0.0699419	85.2	109.5	76.6562	108.377	97.35	17.1827	138.1	0.0515772	2969.89		51728	102584	99.4827442	4.5113037	109506	123054	9.92896e-04	0.1182743	4.39767e-05
18	26.4	22.2	5.9397	38.2	0.951411	0.975128	0.0217445	0.00818016	0.96327	0.0167704	0.9759	0.224274	0.292727	0.0714424	0.0527298	0.2585	0.0484033	0.396989	0.188877	0.275235	0.0454844	0.0490203	0.232056	0.0610644	84.7	91.8	22.0104	19.3781	88.25	5.02046	97.2	0.0228078	40.3152		9940	77457	76.0243177	3.3217780	6513	154593	4.63438e-04	0.2095747	4.28854e-05
17.1	18.6	17.85	1.06066	26.4	0.94879	0.943974	0.0192021	0.0193401	0.946382	0.0034054	0.953912	0.429112	0.519785	0.262286	0.235344	0.474449	0.0641158	0.565934	0.395209	0.404044	0.252964	0.235228	0.399627	0.00624764	82.3	65.9	102.273	101.8	74.1	11.5966	86.3	0.0162069	58.2472		115000	143881	63.3128502	2.5569463	56654	28010	2.16613e-04	0.2348733	1.77713e-05
23.6	24.4	24	0.565685	39.3	0.978226	0.968846	0.00838305	0.0107102	0.973536	0.00663242	0.977347	0.196688	0.454844	0.113117	0.249908	0.325766	0.182544	0.302655	0.187665	0.194773	0.108443	0.110084	0.191219	0.00502637	168.3	94.8	108.059	105.543	131.55	51.9723	177.2	0.00884325	2673.05		57148	178100	52.5119584	7.5911860	110412	90942	8.73800e-04	0.2184508	4.26232e-05
