S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1		NPOP1	NPOP2	RSANC	Nem	T2	T1	MUTRATE	MIG21
38	8	34	4	23	21.2132	42	-0.406408	0.912058	0.252825	0.932296	10.5714	2.70462	6.63802	5.56268	0.316093	9.07949		29134	24969	3.3168607	0.8908505	51882	93272	1.55716e-07	3.56783e-05
203	202	4	3	202.5	0.707107	206	2.86702	3.37433	3.12068	0.358729	102.895	98.04	100.468	3.43317	0.0396812	104.521		45397	12588	34.7227628	4.8792624	23254	328406	1.23233e-07	3.87612e-04
21	26	8	13	23.5	3.53553	34	-0.073579	-0.182999	-0.128289	0.0773715	6.34286	6.47385	6.40835	0.0926232	0.0493099	6.74359		39236	49535	78.6715498	7.1390939	90770	94415	1.68226e-07	1.44122e-04
442	27	423	8	234.5	293.449	450	2.367	1.0303	1.69865	0.945192	208.314	9.05538	108.685	140.897	0.352894	149.749		48578	6570	90.9178897	1.0147393	106834	397794	1.00643e-07	1.54450e-04
0	1	0	1	0.5	0.707107	1	0	-0.310532	-0.155266	0.219579	0	0.212308	0.106154	0.150124	0.043302	0.115385		45304	20193	32.9982699	6.6129633	30249	83671	1.41846e-07	3.27488e-04
7	19	2	14	13	8.48528	21	-0.606119	-0.251705	-0.428912	0.250608	1.79048	4.62769	3.20908	2.00621	0.244061	4.41538		46450	37431	99.1347119	6.2604965	114953	137715	1.59698e-07	1.67254e-04
61	72	13	24	66.5	7.77817	85	0.735059	1.7946	1.26483	0.749205	21.9429	27.6031	24.773	4.00238	0.132832	28.7718		34894	49405	45.1746864	1.7218766	52322	156388	1.35083e-07	3.48523e-05
29	19	12	2	24	7.07107	31	0.132441	0.129585	0.131013	0.00201943	9.2	5.16	7.18	2.85671	0.23173	9.11538		18998	12954	38.0087627	8.3383667	7864	22584	1.61820e-07	6.43690e-04
26	28	6	8	27	1.41421	34	0.310157	-0.473369	-0.0816062	0.554037	8.59048	6.39692	7.4937	1.55108	0.022615	7.62821		13665	43256	36.2969695	4.7430899	56206	434988	9.60198e-08	1.09652e-04
441	46	420	25	243.5	279.307	466	0.502932	1.34419	0.923559	0.594856	150.971	16.3108	83.6411	95.2195	0.809645	356.674		16680	3650	58.8302079	4.7218057	84418	47374	1.30056e-07	0.0012936
575	579	2	6	577	2.82843	581	0.532495	0.913283	0.722889	0.269257	198	186.446	192.223	8.1698	0.512279	392.246		29240	23738	5.3829675	3.4192249	116574	301656	8.11818e-08	1.44040e-04
7	6	1	0	6.5	0.707107	7	-0.064446	1.56384	0.749697	1.15137	2.11429	2.40308	2.25868	0.204206	0.0823585	2.46923		4385	43209	18.1620474	5.7989308	116514	482147	1.11460e-07	1.34207e-04
34	44	10	20	39	7.07107	54	1.18866	0.23576	0.712212	0.673804	13.3905	12.2462	12.8183	0.809158	0.031075	13.2077		48215	23020	38.0137244	8.9425074	14284	69385	1.14044e-07	3.88467e-04
11	6	8	3	8.5	3.53553	14	-1.57567	0.306921	-0.634375	1.33119	2	1.73538	1.86769	0.187111	0.0180107	1.89744		4062	44839	1.4805250	3.3407480	100708	423551	1.03610e-07	7.45054e-05
25	21	13	9	23	2.82843	34	-1.1926	0.421889	-0.385355	1.14162	5.48571	6.14769	5.8167	0.468089	0.00593075	5.86154		2937	42409	3.5383165	3.2090867	57484	240098	1.49283e-07	7.56699e-05
22	27	4	9	24.5	3.53553	31	0.868651	0.397817	0.633234	0.332929	8.19048	7.84	8.01524	0.247824	-0.00386655	7.97949		16411	20817	40.2770129	0.7963812	74264	270533	1.05895e-07	3.82563e-05
27	20	19	12	23.5	4.94975	39	-0.344873	-0.354391	-0.349632	0.0067301	7.61905	4.72308	6.17106	2.04776	0.0853142	6.66667		38456	11255	1.8502575	3.5907855	121739	133963	1.69822e-07	3.19039e-04
15	21	5	11	18	4.24264	26	-1.23943	-0.778569	-1.009	0.32588	3.18095	4.31385	3.7474	0.801077	0.05467	3.98974		13545	37065	11.7573362	6.1188499	32740	288887	9.41035e-08	1.65084e-04
35	38	5	8	36.5	2.12132	43	1.32791	1.6378	1.48286	0.219124	14.1333	14.2862	14.2097	0.10806	-0.0342235	13.741		1340	28677	54.3445341	6.0438140	25547	367757	6.76521e-08	2.10755e-04
12	7	6	1	9.5	3.53553	13	0.789154	1.04136	0.915257	0.178337	4.4381	2.45846	3.44828	1.39981	0.112926	3.82308		13976	32022	20.3030616	1.6215460	93239	207063	1.29339e-07	5.06385e-05
24	20	16	12	22	2.82843	36	-0.980259	-0.381753	-0.681006	0.423208	5.6381	4.68308	5.16059	0.6753	0.0203706	5.25128		24348	5668	89.6068620	8.2677599	51253	170023	1.15159e-07	0.0014587
27	19	11	3	23	5.65685	30	-0.776632	0.303701	-0.236466	0.76391	6.7619	5.40308	6.08249	0.960836	-0.0325881	5.87692		32521	21858	7.1796222	7.7685743	36116	406224	1.13611e-07	3.55411e-04
8	5	6	3	6.5	2.12132	11	-0.888603	0.95265	0.0320234	1.30196	1.86667	1.75077	1.80872	0.0819519	0.0913241	1.98718		33021	15015	31.5195064	1.7085463	105456	298317	8.39753e-08	1.13789e-04
3	3	0	0	3	0	3	0.894248	1.23409	1.06417	0.240305	1.2	1.18154	1.19077	0.0130543	0.0825679	1.29744		33754	49403	47.4837942	0.9997748	55110	240826	1.64016e-07	2.02371e-05
425	510	16	101	467.5	60.1041	526	1.28468	1.94402	1.61435	0.466221	168.486	198.775	183.631	21.418	0.0506803	194.1		41296	33905	89.1563295	3.2372977	104405	463704	1.17738e-07	9.54814e-05
2	18	1	17	10	11.3137	19	-1.49051	-1.83435	-1.66243	0.243133	0.266667	2.27692	1.27179	1.42147	0.0569943	1.39487		23371	15281	16.0156061	5.8716257	36661	474315	1.54972e-07	3.84244e-04
6	7	4	5	6.5	0.707107	11	-0.645998	-0.416815	-0.531407	0.162057	1.50476	1.58462	1.54469	0.0564649	0.0195834	1.57692		36637	47323	44.0093779	5.1375154	94065	266009	8.53544e-08	1.08563e-04
15	12	4	1	13.5	2.12132	16	1.15071	2.5041	1.82741	0.956994	5.94286	5.48308	5.71297	0.325114	-0.0191845	5.6		10591	36056	22.0949946	9.1516728	92740	356889	8.37153e-08	2.53818e-04
113	116	7	10	114.5	2.12132	123	1.37807	1.33193	1.355	0.0326299	45.6571	40.7138	43.1855	3.49544	-0.0481661	41.1615		14057	48430	33.4819637	9.3162074	6886	154122	7.34482e-08	1.92364e-04
5	4	2	1	4.5	0.707107	6	-0.28123	-1.03262	-0.656925	0.531313	1.40952	0.643077	1.0263	0.54196	0.0403742	1.05385		7942	6199	92.2815021	5.4223875	108596	6498	8.20421e-08	8.74720e-04
15	18	7	10	16.5	2.12132	25	0.0957496	-0.640804	-0.272527	0.520822	4.72381	3.86462	4.29421	0.607542	0.334522	6.37949		27616	39146	99.2581503	6.3023933	109816	472319	1.45206e-07	1.60997e-04
136	289	48	201	212.5	108.187	337	0.439475	-2.50407	-1.0323	2.0814	46	28.0215	37.0108	12.7127	0.0697554	39.3359		12644	38050	93.7665243	1.4985394	65354	303873	1.59078e-07	3.93834e-05
15	12	8	5	13.5	2.12132	20	0.0957496	0.586427	0.341088	0.346961	4.72381	3.69231	4.20806	0.729382	-0.0214844	4.10769		32119	29202	26.1796815	6.7474522	101133	284933	1.62190e-07	2.31061e-04
32	21	20	9	26.5	7.77817	41	-0.128123	0.504471	0.188174	0.447312	9.54286	6.27385	7.90835	2.31154	0.125595	8.93077		21963	7401	44.1640062	7.2746799	22852	430761	7.75082e-08	9.82932e-04
44	33	16	5	38.5	7.77817	49	-0.0659125	0.948245	0.441166	0.717117	13.3238	10.8431	12.0834	1.75414	-0.0201868	11.8154		3607	24795	75.4669003	4.9612990	97007	120297	7.32305e-08	2.00093e-04
4	11	1	8	7.5	4.94975	12	-0.326827	-0.602537	-0.464682	0.194957	1.10476	2.36	1.73238	0.887587	0.0679518	1.88974		10453	30659	2.2175917	0.9507612	18494	450613	1.29314e-07	3.10108e-05
547	504	46	3	525.5	30.4056	550	1.83241	2.45198	2.1422	0.438102	237.514	213.258	225.386	17.1515	0.0747353	242.964		8252	38237	0.8428847	5.9770177	22335	310761	1.11262e-07	1.56315e-04
25	22	10	7	23.5	2.12132	32	-0.697626	1.31371	0.308043	1.42223	6.4	7.85846	7.12923	1.03129	0.0540256	7.56923		47809	3154	44.0731222	7.9582045	65967	195808	7.27013e-08	0.0025232
21	16	14	9	18.5	3.53553	30	-1.08005	-0.746374	-0.913213	0.235946	4.7619	3.29846	4.03018	1.03481	0.0536145	4.22564		649	37623	57.0142202	6.6860775	43196	369041	8.31097e-08	1.77713e-04
26	29	12	15	27.5	2.12132	41	-1.47911	0.406365	-0.536371	1.33323	5.1619	8.43385	6.79788	2.31361	0.0950524	7.60769		31535	1915	54.5229852	3.4977941	105823	443262	7.15327e-08	0.0018265
20	19	6	5	19.5	0.707107	25	-0.252696	-0.405985	-0.32934	0.108392	5.77143	4.41231	5.09187	0.961044	0.00821949	5.11282		21122	32012	24.5737970	8.4909337	64809	242003	1.33161e-07	2.65242e-04
13	3	12	2	8	7.07107	15	-1.21577	0.629022	-0.293374	1.30447	2.7619	0.987692	1.8748	1.25456	0.17224	2.18718		31447	2568	67.2415891	1.5522047	15919	266154	1.08377e-07	6.04441e-04
25	12	23	10	18.5	9.19239	35	-1.966	-0.622828	-1.29441	0.949763	4.05714	2.56308	3.31011	1.05646	0.230698	4.21795		8217	915	34.0334632	1.4160706	27516	257857	1.55350e-07	0.0015476
3	5	1	3	4	1.41421	6	-1.685	-0.544633	-1.11482	0.806364	0.4	1.05846	0.729231	0.465603	0.654696	2.29744		38471	6820	5.1927969	7.0931374	34557	180005	9.93734e-08	0.0010400
6	3	4	1	4.5	2.12132	7	0.112873	1.08042	0.596648	0.684161	1.90476	1.13231	1.51853	0.546208	0.0956267	1.65641		12856	26219	95.5362167	5.3375777	72577	378820	1.49499e-07	2.03577e-04
13	8	6	1	10.5	3.53553	14	-1.4593	0.00300317	-0.72815	1.03401	2.51429	2.09846	2.30637	0.294032	-0.0295253	2.2359		47588	45402	39.4684014	3.5548734	48471	357839	1.56557e-07	7.82977e-05
31	45	14	28	38	9.89949	59	1.70547	2.20525	1.95536	0.353395	13.3905	18.6308	16.0106	3.70545	0.173292	19.5974		27433	2794	81.0996513	5.6329588	76417	52713	1.61830e-07	0.0020161
317	331	37	51	324	9.89949	368	1.94766	2.49095	2.2193	0.38417	140.276	141.043	140.66	0.542271	-0.00480597	139.997		38756	9319	3.6374091	5.8786739	46979	44344	1.58420e-07	6.30827e-04
47	22	34	9	34.5	17.6777	56	-1.57297	0.0778037	-0.747585	1.16728	9.1619	5.88923	7.52557	2.31413	0.109421	8.34615		3467	24418	4.9071477	5.5702643	73077	124132	9.50976e-08	2.28121e-04
165	26	154	15	95.5	98.2878	180	-0.105389	-0.201235	-0.153312	0.0677734	49.5333	6.44	27.9867	30.4716	0.221511	33.5974		33742	47824	28.6366640	5.6182720	61093	295457	1.28741e-07	1.17478e-04
14	25	4	15	19.5	7.77817	29	1.17413	-0.0639597	0.555085	0.875461	5.58095	6.43692	6.00894	0.605263	0.0806406	6.55897		20705	11788	22.1620504	4.2959163	43041	411178	8.56571e-08	3.64431e-04
34	33	16	15	33.5	0.707107	49	0.903137	-0.239994	0.331571	0.808316	12.6857	8.09231	10.389	3.24803	0.240985	13.4154		38601	48118	82.1890115	1.9429651	109402	133092	1.38961e-07	4.03792e-05
0	53	0	53	26.5	37.4767	53	0	2.85503	1.42752	2.01881	0	24.2369	12.1185	17.1381	0.388655	22.3462		47369	35381	26.1657803	8.9788014	100650	257653	1.07158e-07	2.53775e-04
107	28	87	8	67.5	55.8614	115	0.996553	-0.752075	0.122239	1.23647	40.381	5.84308	23.112	24.422	0.229596	28.0487		21534	40177	75.6239381	9.6234901	61475	324321	7.91773e-08	2.39527e-04
165	163	10	8	164	1.41421	173	0.475373	0.796019	0.635696	0.226731	56.2095	51.3262	53.7678	3.45306	-0.042342	51.541		36179	49423	38.2733276	8.3185109	20034	49484	1.26788e-07	1.68313e-04
20	20	10	10	20	0	30	-1.26745	-0.714311	-0.990882	0.391131	4.24762	4.19692	4.22227	0.0358475	0.0461853	4.42564		15673	38484	88.9285086	4.1586820	49250	313327	8.44694e-08	1.08063e-04
12	14	5	7	13	1.41421	19	-1.48298	-0.136665	-0.809822	0.951988	2.28571	3.52308	2.9044	0.874948	0.070666	3.15641		34336	26687	16.7927921	1.4668165	57025	258398	1.40320e-07	5.49637e-05
