S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1		NPOP1	NPOP2	RSANC	T1	MUTRATE
51	4	51	4	27.5	33.234	55	1.10685	-0.405243	0.350806	1.06921	19.7143	0.889231	10.3018	13.3113	0.761068	34.3872		13979	11129	73.1203485	286134	1.31224e-07
21	29	21	29	25	5.65685	50	-0.607131	-0.603892	-0.605512	0.00229044	5.50476	6.36	5.93238	0.604745	0.937801	97.2077		41998	21203	3.4947080	424835	1.39610e-07
22	37	21	36	29.5	10.6066	58	-0.745852	-1.53454	-1.14019	0.557685	5.54286	5.74154	5.6422	0.140489	0.97418	219.577		9962	3363	79.5623613	402945	9.89967e-08
21	22	20	21	21.5	0.707107	42	1.2603	-1.21604	0.0221324	1.75104	8.4381	3.82769	6.13289	3.26005	0.960584	139.682		27447	34819	5.0218805	126461	1.54947e-07
43	36	41	34	39.5	4.94975	77	1.04654	1.38919	1.21786	0.24229	16.4571	12.9231	14.6901	2.49896	0.835956	86.959		43398	18242	73.1475826	126634	9.04992e-08
21	22	20	21	21.5	0.707107	42	1.32093	-0.887749	0.216592	1.56177	8.53333	4.35077	6.44205	2.95752	0.983048	345.756		36647	12328	0.3480735	52577	1.13422e-07
11	23	10	22	17	8.48528	33	-0.0999767	0.610399	0.255211	0.502312	3.29524	7.04	5.16762	2.64795	0.984255	361.274		46107	43421	54.4739860	387745	9.07295e-08
5	50	5	50	27.5	31.8198	55	-0.908004	0.222205	-0.3429	0.799179	1.12381	13.8646	7.49421	9.00911	0.88996	82.8205		28110	32657	31.6132540	172346	8.65463e-08
43	284	31	272	163.5	170.413	315	1.35485	2.22055	1.7877	0.612139	17.4095	116.009	66.7094	69.7205	0.690255	247.782		10556	38257	81.7862867	287665	1.45468e-07
16	3	16	3	9.5	9.19239	19	-0.238513	-1.73363	-0.98607	1.0572	4.62857	0.230769	2.42967	3.10972	0.985318	123.8		35220	37251	60.5304406	114336	9.56632e-08
13	11	13	11	12	1.41421	24	1.42562	-0.0136755	0.705971	1.01773	5.44762	2.87077	4.15919	1.82211	0.983378	228.685		14797	26436	47.7726369	457528	8.02811e-08
26	56	23	53	41	21.2132	79	1.46324	1.16092	1.31208	0.213771	10.8	19.1108	14.9554	5.8766	0.848755	105.579		20557	33848	96.7504754	176702	7.34065e-08
7	11	7	11	9	2.82843	18	1.46498	-0.148475	0.658254	1.14089	3.02857	2.75385	2.89121	0.19426	0.990976	316.131		9440	5431	72.4674135	334694	1.18026e-07
