S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1		NPOP1	NPOP2	RSANC	Nem	T2	T1	MUTRATE	MIG12	MIG21
5	9	1	5	7	2.82843	10	1.43195	0.0439455	0.737949	0.981469	2.19048	2.39077	2.29062	0.141629	0.040861	2.39231		15124	25068	84.7005098	2.1437822	62273	273291	1.27384e-07	1.41747e-04	8.55187e-05
38	44	11	17	41	4.24264	55	1.00957	0.700024	0.854797	0.218882	14.4571	13.6554	14.0563	0.566929	0.0379624	14.5949		1151	49659	52.9894857	4.1359103	29286	321287	1.47508e-07	0.0035933	8.32862e-05
227	227	8	8	227	0	235	2.60078	3.12359	2.86219	0.369678	110.819	106.345	108.582	3.1639	0.0073873	109.321		2647	31618	97.5187376	3.6969207	104615	190137	6.76878e-08	0.0013966	1.16925e-04
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		40754	37559	93.2236619	5.4704783	79062	355486	1.41309e-07	1.34232e-04	1.45650e-04
150	209	11	70	179.5	41.7193	220	-0.951117	-0.631932	-0.791524	0.225698	36.181	46.0338	41.1074	6.96705	0.0393857	42.9923		28401	43183	40.6131649	7.4102070	83032	294529	1.24764e-07	2.60914e-04	1.71600e-04
0	1	0	1	0.5	0.707107	1	0	0.668964	0.334482	0.473029	0	0.369231	0.184615	0.261086	0.147075	0.230769		28803	22292	54.3253606	5.6918836	70838	348556	1.27749e-07	1.97614e-04	2.55333e-04
450	456	4	10	453	4.24264	460	2.84478	2.05123	2.44801	0.561124	226.952	180.975	203.964	32.5106	0.161057	241.21		3894	2825	61.9726406	2.2598208	27213	399656	1.55783e-07	5.80334e-04	7.99937e-04
32	40	8	16	36	5.65685	48	-0.471425	-0.362489	-0.416957	0.0770295	8.74286	9.47692	9.10989	0.519063	5.48917e-07	9.12051		7893	21899	84.7940717	2.2821620	46717	332522	1.24690e-07	2.89137e-04	1.04213e-04
63	67	6	10	65	2.82843	73	1.71945	0.316277	1.01786	0.992192	27.0571	18.9938	23.0255	5.70161	0.0460993	23.9667		42163	12963	65.3833485	9.1274729	14974	21727	1.13549e-07	2.16481e-04	7.04117e-04
3	6	0	3	4.5	2.12132	6	-1.685	-0.897869	-1.29144	0.556589	0.4	1.09538	0.747692	0.491711	-0.0107951	0.748718		21822	41632	82.3908547	1.4270972	74524	81141	1.51990e-07	6.53972e-05	3.42789e-05
4	5	0	1	4.5	0.707107	5	-0.922471	-0.518015	-0.720243	0.285993	0.87619	1.07077	0.97348	0.137588	-0.0448463	0.933333		21551	8874	50.8146561	6.7744549	118069	79444	1.27418e-07	3.14345e-04	7.63405e-04
4	5	1	2	4.5	0.707107	6	-1.26993	-1.3698	-1.31987	0.0706209	0.742857	0.676923	0.70989	0.0466224	0.0336514	0.733333		19548	13429	98.6917309	7.8206034	58014	33978	1.34406e-07	4.00072e-04	5.82367e-04
172	171	2	1	171.5	0.707107	173	0.491978	2.69648	1.59423	1.55882	58.7905	75.3908	67.0906	11.7382	-0.0237033	65.7231		38101	18167	28.9769838	2.2217186	95201	368540	1.11557e-07	5.83113e-05	1.22294e-04
22	11	15	4	16.5	7.77817	26	-1.61699	-0.27618	-0.946583	0.948093	4.11429	2.64308	3.37868	1.0403	0.0264593	3.44359		42854	19087	74.4259968	1.2807218	66354	41072	1.08059e-07	2.98857e-05	6.70992e-05
486	486	8	8	486	0	494	0.514591	0.246971	0.380781	0.189235	166.762	135.246	151.004	22.285	-0.0464431	144.044		5648	23076	63.9687566	8.1201935	67693	437535	1.05537e-07	0.0014377	3.51889e-04
2	8	1	7	5	4.24264	9	0.220643	-0.476904	-0.12813	0.49324	0.666667	1.77846	1.22256	0.786158	0.0674812	1.33846		49185	39013	57.4138019	5.9944178	39612	135519	1.30949e-07	1.21875e-04	1.53652e-04
27	32	11	16	29.5	3.53553	43	-0.248926	-0.570936	-0.409931	0.227695	7.80952	7.10154	7.45553	0.500621	0.0884435	8.15897		25102	45828	48.0670183	2.4511764	83710	353965	9.86552e-08	9.76486e-05	5.34864e-05
97	101	0	4	99	2.82843	101	1.39512	2.55931	1.97722	0.823208	39.3333	43.7785	41.5559	3.14318	0.124718	47.6308		15621	37105	74.4248720	4.7680190	88473	92907	1.30642e-07	3.05231e-04	1.28501e-04
24	24	12	12	24	0	36	0.562342	-0.10891	0.226716	0.474647	8.38095	6.10154	7.24125	1.61179	0.384485	11.5308		32218	31665	30.3968493	9.5975013	48934	6433	1.48405e-07	2.97893e-04	3.03095e-04
334	353	5	24	343.5	13.435	358	-2.28998	1.79038	-0.249803	2.88525	49.7333	134.111	91.9221	59.6639	0.0773486	101.846		48211	35821	16.2011601	9.5213856	21065	87138	1.20201e-07	1.97494e-04	2.65805e-04
11	22	3	14	16.5	7.77817	25	0.203843	-0.650223	-0.22319	0.603916	3.5619	4.72923	4.14557	0.825424	0.129308	4.80256		34987	29098	91.4847628	4.4575389	124448	344297	1.06145e-07	1.27406e-04	1.53191e-04
11	284	1	274	147.5	193.04	285	1.61443	-0.626299	0.494067	1.58444	4.8	62.6954	33.7477	40.9382	0.0459803	36.6051		33966	27953	51.0593571	8.7761224	57571	47679	8.26000e-08	2.58380e-04	3.13960e-04
7	13	2	8	10	4.24264	15	-0.494598	-1.01585	-0.755226	0.368583	1.85714	2.39077	2.12396	0.377331	0.183414	2.62564		4161	31360	2.2635758	5.6806933	22002	106484	7.02487e-08	0.0013652	1.81145e-04
18	51	4	37	34.5	23.3345	55	0.787588	-1.22476	-0.218586	1.42294	6.60952	9.08615	7.84784	1.75124	0.0380267	8.20769		31451	20031	8.3806432	6.0385981	87014	353051	7.27008e-08	1.92000e-04	3.01463e-04
4	5	0	1	4.5	0.707107	5	-1.51811	-0.870708	-1.19441	0.457785	0.647619	0.907692	0.777656	0.1839	-0.0316817	0.75641		46053	39598	86.5132212	9.8425380	20843	398614	1.11645e-07	2.13722e-04	2.48561e-04
12	23	3	14	17.5	7.77817	26	-1.20148	-0.817669	-1.00957	0.271393	2.55238	4.67077	3.61158	1.49793	0.0375724	3.79487		14672	32466	32.5968235	6.2046659	71020	298111	7.47905e-08	4.22892e-04	1.91113e-04
2	4	0	2	3	1.41421	4	-0.0238069	-0.860092	-0.441949	0.591343	0.609524	0.710769	0.660147	0.0715913	0.156962	0.787179		23721	4606	92.8277284	7.5080409	77645	353726	1.04115e-07	3.16515e-04	0.0016301
58	68	10	20	63	7.07107	78	0.0740425	0.712511	0.393277	0.451465	18.1429	21.1015	19.6222	2.0921	0.119099	22.3744		1395	22807	89.6889587	2.3071554	49383	325757	1.40634e-07	0.0016539	1.01160e-04
18	16	8	6	17	1.41421	24	0.270637	-0.897858	-0.31361	0.826251	5.90476	3.11692	4.51084	1.9713	0.0403358	4.64359		21626	5964	1.3237299	7.0349956	7395	27375	7.30007e-08	3.25303e-04	0.0011796
10	4	7	1	7	4.24264	11	-0.175877	-1.16594	-0.670908	0.700079	2.93333	0.590769	1.76205	1.65644	0.305846	2.35897		49941	45702	80.2161714	9.7618685	3119	111625	1.01054e-07	1.95468e-04	2.13598e-04
30	34	7	11	32	2.82843	41	-2.14067	0.235586	-0.952544	1.68027	4.53333	9.47077	7.00205	3.49129	0.0244818	7.26667		750	15778	20.8476772	1.3334014	95342	67377	1.07957e-07	0.0017779	8.45102e-05
2	3	1	2	2.5	0.707107	4	0.62806	0.292873	0.460466	0.237013	0.761905	0.88	0.820952	0.0835059	0.102142	0.917949		933	21625	88.9041458	2.5860201	74599	21548	8.93966e-08	0.0027717	1.19585e-04
15	20	6	11	17.5	3.53553	26	0.689164	-0.825865	-0.0683504	1.07129	5.40952	4.03385	4.72168	0.972751	0.11137	5.26923		37604	40531	92.6066634	1.5099127	110710	315742	9.95315e-08	4.01530e-05	3.72533e-05
392	421	10	39	406.5	20.5061	431	1.54137	1.74303	1.6422	0.142601	162.381	158.578	160.48	2.68877	-0.0185101	157.518		32214	5191	29.0520628	5.4636935	37047	433975	1.02033e-07	1.69606e-04	0.0010525
5	10	0	5	7.5	3.53553	10	-0.406585	-0.621275	-0.51393	0.151808	1.35238	2.12308	1.73773	0.544964	0.0163081	1.77949		16686	39693	35.3785007	5.9675895	36319	235705	1.46045e-07	3.57641e-04	1.50344e-04
5	37	3	35	21	22.6274	40	-1.15871	0.485659	-0.336528	1.16275	1.00952	10.9477	5.97861	7.02735	0.315766	9.52821		43338	42699	1.4182764	6.3116651	105555	394448	9.58893e-08	1.45638e-04	1.47818e-04
25	24	9	8	24.5	0.707107	33	0.251074	-1.08655	-0.417738	0.945843	8.15238	4.41538	6.28388	2.64246	0.160538	7.33077		11785	19100	38.8242645	3.9644590	119206	384224	1.13609e-07	3.36399e-04	2.07563e-04
7	4	3	0	5.5	2.12132	7	0.540953	2.50422	1.52259	1.38824	2.47619	2.03077	2.25348	0.31496	0.00426041	2.25641		31629	46707	63.6424073	6.7268539	55150	488740	1.09880e-07	2.12680e-04	1.44022e-04
877	876	3	2	876.5	0.707107	879	1.25348	-0.0791788	0.587149	0.94233	345.61	225.015	285.312	85.2729	0.0912525	310.51		2002	36840	36.6463159	8.9140977	36930	192222	1.06715e-07	0.0044526	2.41968e-04
4	3	2	1	3.5	0.707107	5	0.21918	-0.465864	-0.123342	0.484399	1.31429	0.636923	0.975604	0.478968	0.1098	1.07436		29546	5091	97.8071576	3.5444741	83635	414906	1.03586e-07	1.19965e-04	6.96224e-04
22	20	6	4	21	1.41421	26	0.0672068	-0.141806	-0.0372998	0.147795	6.87619	5.03385	5.95502	1.30273	0.122453	6.72308		42891	7961	69.8695943	2.5156358	87940	339889	1.67005e-07	5.86518e-05	3.15995e-04
199	13	193	7	106	131.522	206	2.28279	0.710091	1.49644	1.11206	92.7905	4.11692	48.4537	62.7017	0.41165	72.3231		33644	15685	13.0883004	2.4397199	18630	487147	1.12424e-07	7.25157e-05	1.55545e-04
579	582	1	4	580.5	2.12132	583	-2.47758	-1.68717	-2.08237	0.558907	78.9238	88.0554	83.4896	6.457	-0.0500673	79.5795		25668	48437	21.1924461	6.8600635	47993	394687	1.19748e-07	2.67261e-04	1.41629e-04
34	105	11	82	69.5	50.2046	116	-0.686552	-0.834653	-0.760602	0.104723	8.7619	21.6523	15.2071	9.11489	0.270058	21.6923		9648	9250	27.6646732	9.8373364	79840	291041	1.68218e-07	0.0010196	0.0010635
130	131	2	3	130.5	0.707107	133	1.53696	-0.770562	0.383199	1.63166	53.9429	27.6062	40.7745	18.6229	0.0263074	41.3949		34196	35421	42.6035962	2.8053673	58374	161249	1.06960e-07	8.20379e-05	7.92007e-05
6	5	2	1	5.5	0.707107	7	-0.826682	0.353737	-0.236473	0.834682	1.40952	1.47385	1.44168	0.0454828	-0.032143	1.39744		40136	33122	23.2416143	9.1742206	3576	102587	1.03271e-07	2.28578e-04	2.76983e-04
