S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1	
33	35	11	13	34	1.41421	46	0.271343	-0.889227	-0.308942	0.820647	10.8	6.99692	8.89846	2.68918	0.00913116	8.92051	
1	1	0	0	1	0	1	1.37595	1.1299	1.25293	0.173979	0.514286	0.443077	0.478681	0.0503522	0.114856	0.538462	
17	20	4	7	18.5	2.12132	24	-0.713624	0.904277	0.0953264	1.14403	4.30476	6.56308	5.43392	1.59687	0.0700661	5.9	
134	146	9	21	140	8.48528	155	-2.16239	-1.55515	-1.85877	0.42938	20.9714	23.1662	22.0688	1.55191	0.0459965	23.1795	
32	34	6	8	33	1.41421	40	0.717872	0.152864	0.435368	0.399521	11.5143	9.27385	10.3941	1.58423	0.0196918	10.5641	
31	45	9	23	38	9.89949	54	-0.610929	-1.23101	-0.920968	0.438463	8.15238	7.97538	8.06388	0.125155	-0.0044584	8.02564	
168	170	9	11	169	1.41421	179	-0.452566	-1.11225	-0.782406	0.466464	46.3714	32.0092	39.1903	10.1556	-0.00885433	38.6564	
11	11	3	3	11	0	14	0.16044	-0.219422	-0.0294913	0.268603	3.52381	2.69231	3.10806	0.587961	0.139789	3.58205	
123	132	8	17	127.5	6.36396	140	2.72925	1.07623	1.90274	1.16886	61.3048	44.0523	52.6785	12.1993	0.0793826	56.7615	
7	17	6	16	12	7.07107	23	-0.892887	1.08085	0.0939799	1.39564	1.61905	5.82154	3.72029	2.97161	0.287698	5.52308	
35	58	9	32	46.5	16.2635	67	-0.00835511	0.756246	0.373945	0.540655	10.7429	18.1877	14.4653	5.26429	0.165444	17.6487	
0	1	0	1	0.5	0.707107	1	0	-1.15559	-0.577794	0.817124	0	0.0769231	0.0384615	0.0543928	-0.023085	0.0384615	
185	176	30	21	180.5	6.36396	206	0.704254	-0.581956	0.0611493	0.909487	65.9619	39.3323	52.6471	18.83	0.0532209	55.0103	
137	32	121	16	84.5	74.2462	153	1.07914	0.0145036	0.54682	0.752809	52.4571	8.41846	30.4378	31.1401	0.243342	37.5923	
623	624	1	2	623.5	0.707107	625	1.61216	1.63744	1.6248	0.0178802	261	230.582	245.791	21.5091	-0.0511108	233.608	
187	195	0	8	191	5.65685	195	2.95815	1.36625	2.1622	1.12565	96	68.7385	82.3692	19.2768	0.132555	93.9744	
13	20	11	18	16.5	4.94975	31	-0.990972	-1.3247	-1.15784	0.235982	2.99048	3.30462	3.14755	0.22213	0.143574	3.68718	
17	33	4	20	25	11.3137	37	-1.11104	-1.43488	-1.27296	0.228992	3.79048	5.32615	4.55832	1.08589	0.0954898	5.08462	
5	7	0	2	6	1.41421	7	-0.0723056	0.409827	0.16876	0.340919	1.50476	2.08	1.79238	0.406755	-0.0372995	1.73333	
