K_1	K_2	mean_K	sd_K	tot_K	H_1	H_2	Hsd_1	Hsd_2	mean_H	sd_H	tot_H	GW_1	GW_2	GWsd_1	GWsd_2	mean_GW	sd_GW	tot_GW	NGW_1	NGW_2	NGWsd_1	NGWsd_2	mean_NGW	sd_NGW	R_1	R_2	Rsd_1	Rsd_2	mean_R	sd_R	tot_R	FST_2_1	DMUSQ_2_1	
14.6	21.8	18.2	5.09117	28.1	0.928024	0.953205	0.0218605	0.0159814	0.940615	0.0178056	0.95403	0.226037	0.303833	0.0909567	0.129231	0.264935	0.05501	0.379645	0.193873	0.299481	0.0675773	0.127686	0.246677	0.0746759	72.2	79.2	26.1143	22.7977	75.7	4.94975	80.5	0.0247574	70.4779	
14.4	26.3	20.35	8.41457	32.9	0.918145	0.971538	0.0351293	0.015155	0.944842	0.0377548	0.959585	0.203547	0.133103	0.288511	0.0755175	0.168325	0.0498113	0.163347	0.0695085	0.132721	0.0349535	0.0746176	0.101115	0.0446983	169.8	247.3	125.35	110.66	208.55	54.8008	247.5	0.0240397	3046.31	
23.6	27.4	25.5	2.68701	42.5	0.976411	0.976667	0.00562673	0.00633287	0.976539	0.000180578	0.981025	0.115309	0.130209	0.035927	0.0446035	0.122759	0.0105361	0.192759	0.105707	0.124835	0.0330099	0.0461362	0.115271	0.0135251	231.2	239	103.265	112.831	235.1	5.51543	251.5	0.0090605	1411.4	
18.8	21.9	20.35	2.19203	30.7	0.95625	0.958462	0.0144778	0.0117998	0.957356	0.00156379	0.962754	0.18968	0.219964	0.0477092	0.050326	0.204822	0.0214141	0.288285	0.179106	0.207722	0.0466092	0.0492014	0.193414	0.0202347	104.1	103.6	30.9962	28.0008	103.85	0.353553	110.4	0.0108758	178.545	
15.2	21.2	18.2	4.24264	35.1	0.934476	0.957051	0.0159955	0.0112621	0.945764	0.0159633	0.971831	0.386767	0.150351	0.285082	0.0487579	0.268559	0.167171	0.207551	0.0904237	0.125724	0.0286283	0.0397814	0.108074	0.0249611	68.9	157.5	56.6636	69.3433	113.2	62.6497	184.8	0.0496496	3653.41	
13.4	18.1	15.75	3.3234	22	0.908468	0.945769	0.0267672	0.0154089	0.927118	0.0263761	0.941275	0.438897	0.416509	0.268659	0.223242	0.427703	0.0158303	0.493919	0.304054	0.406921	0.165625	0.215849	0.355488	0.0727378	41.4	52.6	23.2675	22.0464	47	7.9196	53.4	0.0251906	88.9628	
6.9	9.6	8.25	1.90919	10.2	0.773387	0.860769	0.0553953	0.0568463	0.817078	0.0617885	0.843388	0.849484	0.840448	0.113455	0.184238	0.844966	0.00638925	0.878345	0.6221	0.826163	0.196357	0.175839	0.724131	0.144294	7.2	10.9	1.22927	3.66515	9.05	2.6163	11	0.0492307	0.220699	
13.6	14.8	14.2	0.848528	20.3	0.910081	0.913077	0.0283089	0.0270739	0.911579	0.00211869	0.93482	0.276603	0.3076	0.136722	0.143394	0.292102	0.0219186	0.407034	0.271682	0.293275	0.130059	0.142266	0.282478	0.0152688	58.8	56.7	26.7822	27.0516	57.75	1.48492	59.3	0.0480968	240.155	
25.2	30	27.6	3.39411	49.1	0.983468	0.982949	0.00920478	0.00792732	0.983208	0.000367005	0.987089	0.0940871	0.106996	0.0427901	0.045272	0.100541	0.00912786	0.160254	0.0839906	0.0981363	0.0361914	0.0366168	0.0910635	0.0100025	322.4	322.9	157.977	132.27	322.65	0.353553	348.3	0.00788006	1620.06	
15.9	16.7	16.3	0.565685	23.1	0.935887	0.93359	0.0194266	0.0230437	0.934738	0.00162447	0.94331	0.531304	0.478381	0.219772	0.127265	0.504843	0.0374222	0.627401	0.446334	0.455888	0.144295	0.119259	0.451111	0.0067562	35.6	38.4	18.9631	19.8785	37	1.9799	40.1	0.0182547	26.8846	
17.5	13.3	15.4	2.96985	22.7	0.949798	0.900256	0.0185135	0.0426144	0.925027	0.0350315	0.938772	0.490882	0.662354	0.230689	0.302088	0.576618	0.121249	0.58958	0.461381	0.361133	0.194138	0.195081	0.411257	0.0708864	48.6	29.9	37.6628	32.7667	39.25	13.2229	49.6	0.0346473	121.711	
20.7	22.7	21.7	1.41421	32.4	0.965524	0.961795	0.010645	0.0130016	0.96366	0.00263703	0.965649	0.198233	0.203052	0.125997	0.118131	0.200642	0.00340729	0.288442	0.181975	0.200937	0.104967	0.117179	0.191456	0.0134083	164.8	167	122.866	118.336	165.9	1.55563	169.4	0.00454531	622.216	
20.2	26.2	23.2	4.24264	40.1	0.966331	0.974872	0.0140985	0.00876225	0.970601	0.0060395	0.979734	0.230003	0.274102	0.121224	0.116389	0.252053	0.0311827	0.37053	0.185273	0.244881	0.0766433	0.101264	0.215077	0.0421493	110.5	117	57.0638	60.8148	113.75	4.59619	127.4	0.0174658	543.914	
12.2	11.2	11.7	0.707107	15.2	0.906855	0.867308	0.0157264	0.0389722	0.887081	0.0279641	0.889906	0.773887	0.823181	0.105277	0.129603	0.798534	0.0348558	0.908071	0.741417	0.669952	0.102136	0.0834991	0.705685	0.0505329	15	13.1	2.66667	4.62961	14.05	1.3435	15.8	0.011345	2.48775	
9.5	14.9	12.2	3.81838	16.4	0.846371	0.923974	0.0609584	0.0247055	0.885173	0.0548739	0.90982	0.709882	0.792084	0.13242	0.108526	0.750983	0.0581255	0.859743	0.501525	0.785948	0.0761388	0.113373	0.643737	0.201117	13.1	18.1	4.72464	4.12176	15.6	3.53553	18.3	0.0434021	3.5833	
23.8	29.7	26.75	4.17193	45.3	0.978226	0.983462	0.0108697	0.00663289	0.980844	0.00370222	0.983881	0.161274	0.183055	0.0643936	0.0623916	0.172165	0.0154014	0.278414	0.147049	0.182652	0.0557334	0.0627282	0.164851	0.0251748	165.4	176.6	57.1629	53.4004	171	7.9196	177.3	0.00554206	27.3425	
7.6	11.1	9.35	2.47487	11.6	0.767944	0.863077	0.124491	0.0613119	0.81551	0.0672695	0.82989	0.698501	0.827708	0.200005	0.209237	0.763105	0.0913632	0.848487	0.547806	0.817708	0.121234	0.202364	0.682757	0.19085	12	14.4	9.58007	9.60555	13.2	1.69706	14.5	0.0212923	5.11205	
14.3	18.5	16.4	2.96985	22.8	0.929637	0.940769	0.0173291	0.021789	0.935203	0.00787161	0.94284	0.31353	0.357251	0.274781	0.278939	0.33539	0.0309154	0.418223	0.268638	0.336404	0.206583	0.245761	0.302521	0.0479178	90.6	93.3	80.3149	79.5418	91.95	1.90919	94.2	0.0147189	119.043	
22.1	28.1	25.1	4.24264	41.2	0.972379	0.979231	0.0119861	0.00787532	0.975805	0.00484491	0.980321	0.216139	0.232141	0.167738	0.119641	0.22414	0.0113146	0.324926	0.178424	0.227654	0.101515	0.116215	0.203039	0.0348111	149.8	161.4	96.009	96.7439	155.6	8.20244	163.7	0.00836612	366.316	
