S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1	
0	91	0	91	45.5	64.3467	91	0	-1.38003	-0.690014	0.975827	0	15.4154	7.70769	10.9003	0.864401	70.9231	
11	0	11	0	5.5	7.77817	11	0.0302316	0	0.0151158	0.0213769	3.40952	0	1.70476	2.4109	0.928433	17.5333	
75	29	74	28	52	32.5269	103	-1.06472	0.611714	-0.226503	1.18542	17.4286	8.85538	13.142	6.06216	0.972924	441.813	
3	0	3	0	1.5	2.12132	3	0.0959081	0	0.047954	0.0678173	0.952381	0	0.47619	0.673435	0.994698	64.6	
69	46	68	45	57.5	16.2635	114	-1.01491	1.23243	0.108761	1.58911	16.2667	15.9569	16.1118	0.219022	0.904189	167.746	
19	51	18	50	35	22.6274	69	0.667826	0.560503	0.614164	0.075889	6.8	15.3231	11.0615	6.02673	0.955916	277.105	
32	14	29	11	23	12.7279	43	-0.561338	-1.32842	-0.944877	0.542406	8.53333	2.25231	5.39282	4.44136	0.954767	100.436	
32	52	29	49	42	14.1421	81	-2.19611	-0.0853911	-1.14075	1.4925	4.72381	13.3231	9.02344	6.0806	0.973503	385.221	
5	13	5	13	9	5.65685	18	1.0141	-0.738964	0.137569	1.23961	2	2.66769	2.33385	0.47213	0.985257	164.608	
65	53	61	49	59	8.48528	114	1.50755	-1.24619	0.130679	1.94719	26.9333	9.37231	18.1528	12.4175	0.96939	514.359	
7	25	7	25	16	12.7279	32	1.21008	0.314132	0.762105	0.63353	2.87619	7.11385	4.99502	2.99648	0.957765	131.882	
1	12	1	12	6.5	7.77817	13	-0.398828	-0.224137	-0.311482	0.123526	0.247619	2.93538	1.5915	1.90054	0.987089	152.29	
172	16	170	14	94	110.309	186	0.556383	0.801841	0.679112	0.173565	59.5619	5.15385	32.3579	38.4723	0.895207	242.446	
150	8	147	5	79	100.409	155	-0.84461	-0.619953	-0.732282	0.158857	37.2952	1.68308	19.4892	25.1816	0.939666	244.287	
542	369	332	159	455.5	122.329	701	2.40045	2.68084	2.54065	0.198262	256.629	161.8	209.214	67.0539	0.575074	472.885	
6	20	6	20	13	9.89949	26	0.401967	-0.0302521	0.185857	0.305625	2.05714	5.19692	3.62703	2.22016	0.947498	77.1205	
19	60	17	58	39.5	28.9914	77	-0.449109	-0.45231	-0.450709	0.00226339	5.2	13.8769	9.53846	6.13551	0.983237	640.923	
35	9	34	8	22	18.3848	43	-1.46474	0.62669	-0.419024	1.47886	7.04762	2.81846	4.93304	2.99047	0.984207	275.128	
25	4	25	4	14.5	14.8492	29	0.178891	0.041763	0.110327	0.0969639	8.01905	1.06462	4.54183	4.91753	0.95376	77.8923	
63	71	58	66	67	5.65685	129	2.27583	1.2809	1.77837	0.70352	29.5429	24.7569	27.1499	3.38417	0.826016	152.774	
65	15	65	15	40	35.3553	80	1.65644	-1.07745	0.289497	1.93315	27.619	2.71077	15.1649	17.6128	0.97199	419.159	
18	6	18	6	12	8.48528	24	-0.0786536	-1.70299	-0.890823	1.14858	5.42857	0.667692	3.04813	3.36645	0.969585	78.7462	
9	8	8	7	8.5	0.707107	16	-0.601614	-0.910666	-0.75614	0.218533	2.32381	1.48923	1.90652	0.590136	0.996289	482.136	
37	4	37	4	20.5	23.3345	41	1.058	1.46905	1.26352	0.290655	14.2095	1.62462	7.91707	8.89887	0.960344	156.482	
34	23	34	23	28.5	7.77817	57	0.123727	0.054009	0.0888678	0.0492978	10.7619	6.11692	8.43941	3.2845	0.960986	200.115	
1	6	1	6	3.5	3.53553	7	1.37595	-1.30333	0.0363102	1.89453	0.514286	0.88	0.697143	0.258599	0.973751	28.4769	
